Maintain Calorie Plan,,,,,,
Week 1,Breakfast,Lunch,Dinner,Snack,Total,
Meal,Peanu Butter and Banana Oatmeal,White Bean & Veggie Salad,Spinach and Pasta Shells,"Banana, Peanut Butter and Raisins",-,
Calories,615,750,696,354,2415,calories
Carbs (grams),92,69,135,63,359,grams
Fat,24,49,10,12,95,grams
Protein,21,21,29,8,79,grams
,,,,,,
Week 3,Breakfast,Lunch,Dinner,Snack,,
Meal,Banana Oatmeal Smoothie,Big PB&J Sandwich,"Easy Olive Oil, Tomato, and Basil Pasta",Mango Strawberry Arugula Salad,,
Calories,787,615,642,457,2501,calories
Carbs (grams),87,63,87,65,302,grams
Fat,22,34,29,23,108,grams
Protein,64,23,17,9,113,grams
,,,,,,
Week 2,Breakfast,Lunch,Dinner,Snack,,
Meal,Seedy Hummus Toast,White Bean & Veggie Salad (2),Zucchini Peanut Noodles,Blueberries (2 cups),,
Calories,708,750,1007,169,2634,calories
Carbs (grams),75,69,120,43,307,grams
Fat,34,49,49,1,133,grams
Protein,29,21,29,2,81,grams
,,,,,,
Week 4,Breakfast,Lunch,Dinner,Snack,,
Meal,Crispy Hash Browns,Tahini on Rye (2),Basil Pesto Pasta with Broccoli and Mushrooms,Cauliflower and Hummus,,
Calories,685,612,1070,157,2524,calories
Carbs (grams),100,74,98,26,298,grams
Fat,28,28,64,4,124,grams
Protein,12,20,26,11,69,grams
